Latitude,Longitude,Time,Particle_ID
35.604168,14.30555588888889,0,1.0
35.604168,14.597222555555556,0,2.0
35.84027866666667,14.694444777777779,0,3.0
36.07638933333333,14.402778111111111,0,4.0
36.3125,14.013889222222222,0,5.0
36.58505847033443,15.158903813315778,1,1.0
36.00075080760947,14.758317252351432,1,2.0
36.33240191078876,15.685967130853623,1,3.0
36.928729830276716,15.311759007760589,1,4.0
36.37524085262393,14.901504429063568,1,5.0
37.53005987452782,16.02544985941908,2,1.0
36.68994213198205,15.362706764180594,2,2.0
37.27740331498215,16.552513176956925,2,3.0
37.87373123447011,16.17830505386389,2,4.0
37.32024225681732,15.76805047516687,2,5.0
37.76206967990516,16.839358389344373,3,1.0
36.92195193735939,16.176615294105886,3,2.0
37.50941312035949,17.366421706882218,3,3.0
38.105741039847445,16.992213583789184,3,4.0
37.55225206219466,16.581959005092163,3,5.0
38.206536086274674,17.322798322318032,4,1.0
37.3664183437289,16.660055227079546,4,2.0
37.953879526729004,17.849861639855877,4,3.0
38.55020744621696,17.475653516762844,4,4.0
37.996718468564175,17.065398938065822,4,5.0
39.11984466032673,17.427981671452454,5,1.0
38.279726917780955,16.765238576213967,5,2.0
38.86718810078106,17.9550449889903,5,3.0
39.46351602026901,17.580836865897265,5,4.0
38.91002704261623,17.170582287200244,5,5.0
39.302743286473735,17.59180228316649,6,1.0
38.46262554392796,16.929059187928004,6,2.0
39.050086726928065,18.118865600704336,6,3.0
39.64641464641602,17.7446574776113,6,4.0
39.092925668763236,17.33440289891428,6,5.0
39.49040667426542,17.628334838410378,7,1.0
38.65028893171965,16.965591743171892,7,2.0
39.23775011471975,18.155398155948223,7,3.0
39.83407803420771,17.78119003285519,7,4.0
39.28058905655492,17.370935454158168,7,5.0
40.341201186552524,17.669878730115595,8,1.0
39.50108344400675,17.00713563487711,8,2.0
40.088544627006854,18.19694204765344,8,3.0
40.68487254649481,17.822733924560406,8,4.0
40.131383568842026,17.412479345863385,8,5.0
40.76683225384505,18.456190874762168,9,1.0
39.92671451129928,17.79344777952368,9,2.0
40.51417569429938,18.983254192300013,9,3.0
41.11050361378734,18.60904606920698,9,4.0
40.557014636134554,18.198791490509958,9,5.0
41.18830485785579,19.01685191205585,10,1.0
40.34818711531002,18.354108816817362,10,2.0
40.93564829831012,19.543915229593694,10,3.0
41.531976217798075,19.16970710650066,10,4.0
40.97848724014529,18.75945252780364,10,5.0
41.48017653830828,19.827223101757653,11,1.0
40.640058795762506,19.164480006519167,11,2.0
41.22751997876261,20.354286419295498,11,3.0
41.82384789825056,19.980078296202464,11,4.0
41.27035892059778,19.569823717505443,11,5.0
41.673326152959206,20.50829710128968,12,1.0
40.833208410413434,19.845554006051195,12,2.0
41.420669593413535,21.035360418827526,12,3.0
42.01699751290149,20.661152295734492,12,4.0
41.46350853524871,20.25089771703747,12,5.0
42.12189185071107,20.621412493368968,13,1.0
41.2817741081653,19.958669398130482,13,2.0
41.8692352911654,21.148475810906813,13,3.0
42.46556321065336,20.77426768781378,13,4.0
41.912074233000574,20.364013109116758,13,5.0
43.06430116118073,21.154821863830303,14,1.0
42.22418341863496,20.492078768591817,14,2.0
42.81164460163506,21.68188518136815,14,3.0
43.407972521123014,21.307677058275114,14,4.0
42.85448354347023,20.897422479578093,14,5.0
43.89123648761383,21.3414009048438,15,1.0
43.05111874506806,20.678657809605312,15,2.0
43.63857992806816,21.868464222381643,15,3.0
44.234907847556116,21.49425609928861,15,4.0
43.68141886990333,21.08400152059159,15,5.0
44.23211154642845,21.783162115491386,16,1.0
43.39199380388268,21.1204190202529,16,2.0
43.97945498688278,22.31022543302923,16,3.0
44.57578290637073,21.936017309936197,16,4.0
44.02229392871795,21.525762731239176,16,5.0
44.787900889251276,22.134202942659737,17,1.0
43.947783146705504,21.47145984742125,17,2.0
44.535244329705606,22.661266260197582,17,3.0
45.13157224919356,22.287058137104548,17,4.0
44.57808327154078,21.876803558407527,17,5.0
45.20328988309027,22.743147590293482,18,1.0
44.3631721405445,22.080404495054996,18,2.0
44.9506333235446,23.270210907831327,18,3.0
45.546961243032555,22.896002784738293,18,4.0
44.99347226537977,22.485748206041272,18,5.0
45.70468879356172,23.559755623702337,19,1.0
44.86457105101595,22.89701252846385,19,2.0
45.45203223401605,24.086818941240182,19,3.0
46.04836015350401,23.712610818147148,19,4.0
45.49487117585122,23.302356239450127,19,5.0
45.84339611203363,23.796008854771678,20,1.0
45.00327836948786,23.133265759533195,20,2.0
45.59073955248796,24.323072172309523,20,3.0
46.187067471975915,23.94886404921649,20,4.0
45.63357849432313,23.538609470519468,20,5.0
46.25532226968843,24.413972301942646,21,1.0
45.415204527142656,23.751229206704163,21,2.0
46.00266571014276,24.94103561948049,21,3.0
46.59899362963071,24.566827496387457,21,4.0
46.04550465197793,24.156572917690436,21,5.0
46.76695148723452,24.726393381769665,22,1.0
45.92683374468875,24.063650286531182,22,2.0
46.51429492768885,25.25345669930751,22,3.0
47.110622847176806,24.879248576214476,22,4.0
46.55713386952402,24.468993997517455,22,5.0
47.21297424623196,25.12655318682435,23,1.0
46.37285650368619,24.463810091585867,23,2.0
46.96031768668629,25.653616504362194,23,3.0
47.55664560617424,25.27940838126916,23,4.0
47.00315662852146,24.86915380257214,23,5.0
